signal_date,trade_date,symbol,day_ret,cum_ret,weight,hold_day_no,__price__,price_tier
2026-04-11,2026-04-16,1101,0.0250034178426576,0.0250034178426576,6.705117618938232e-05,1,,unknown
2026-04-11,2026-04-16,1103,-0.0014565058359091,-0.0014565058359091,8.381397023672789e-05,1,,unknown
2026-04-11,2026-04-16,1104,0.0234481887642341,0.0325546825228284,6.705117618938232e-05,3,,unknown
2026-04-11,2026-04-16,1106,0.0093087398724358,0.0212803069945928,6.705117618938232e-05,2,,unknown
2026-04-11,2026-04-16,1107,-0.007948623466863,0.0145895020188426,4.966753791806096e-05,2,,unknown
2026-04-11,2026-04-16,1109,-0.0327295440349779,-0.0184445712112566,6.705117618938232e-05,3,,unknown
2026-04-11,2026-04-16,1110,-0.0055783212161268,0.0046206030821827,6.705117618938232e-05,2,,unknown
2026-04-11,2026-04-16,1112,-0.0079006451246199,-0.0079006451246199,8.381397023672789e-05,1,,unknown
2026-04-11,2026-04-16,1115,-0.0215827338129497,-0.0215827338129497,6.705117618938232e-05,1,,unknown
2026-04-11,2026-04-16,1116,-0.0011148272017836,-0.0350026925148087,7.450130687709147e-05,2,,unknown
2026-04-11,2026-04-16,1118,0.0146551724137931,0.0124109117719342,6.705117618938232e-05,3,,unknown
2026-04-11,2026-04-16,1119,0.0175673863483976,0.0192075218267295,4.966753791806096e-05,3,,unknown
2026-04-11,2026-04-16,1120,-0.0075502947050513,-0.0075502947050513,8.381397023672789e-05,1,,unknown
2026-04-11,2026-04-16,1121,-0.0121983874326857,-0.0121983874326857,4.966753791806096e-05,1,,unknown
2026-04-11,2026-04-16,1122,0.0069162836802738,0.0613112340607413,8.381397023672789e-05,3,,unknown
2026-04-11,2026-04-16,1123,0.0240117334013529,0.0150964864895926,0.0001043018296279,2,,unknown
2026-04-11,2026-04-16,1124,0.0101010101010101,0.0090281465746151,4.966753791806096e-05,2,,unknown
2026-04-11,2026-04-16,1125,-0.0104688211197087,-0.0104688211197087,6.705117618938232e-05,1,,unknown
2026-04-11,2026-04-16,1127,0.0238538618426886,-0.0067956989247313,6.705117618938232e-05,3,,unknown
2026-04-11,2026-04-16,1128,-0.0021428571428571,0.0317577548005909,8.381397023672789e-05,2,,unknown
2026-04-11,2026-04-16,1129,0.010676785431954,0.0002945535212952,4.966753791806096e-05,2,,unknown
2026-04-11,2026-04-16,1130,-0.0091743119266054,-0.0063837776943296,8.381397023672789e-05,2,,unknown
2026-04-11,2026-04-16,1131,-0.0124052043708962,-0.0133852931209758,6.705117618938232e-05,2,,unknown
2026-04-11,2026-04-16,1133,-0.0129215436319388,-0.0129215436319388,6.705117618938232e-05,1,,unknown
2026-04-11,2026-04-16,1137,0.0242012525209638,0.0377500537750052,8.381397023672789e-05,3,,unknown
2026-04-11,2026-04-16,1138,-0.0056126669029894,0.0016067602951677,8.381397023672789e-05,3,,unknown
2026-04-11,2026-04-16,1139,0.0493674943900575,0.0493674943900575,4.966753791806096e-05,1,,unknown
2026-04-11,2026-04-16,1140,0.0249171602264721,0.0033460192587673,4.966753791806096e-05,2,,unknown
2026-04-11,2026-04-16,1141,0.0075672359136924,0.0857898506804781,0.0001043018296279,3,,unknown
2026-04-11,2026-04-16,1143,-0.0319650194127182,-0.0129146327401314,6.705117618938232e-05,2,,unknown
2026-04-11,2026-04-16,1145,-0.0203971508741636,-0.0151893240750788,6.705117618938232e-05,3,,unknown
2026-04-11,2026-04-16,1146,-0.0283710152188889,-0.0308595702148927,6.705117618938232e-05,2,,unknown
2026-04-11,2026-04-16,1147,-0.028169014084507,0.0048543689320388,6.705117618938232e-05,3,,unknown
2026-04-11,2026-04-16,1148,0.0295028112957231,0.0274905422446407,0.0001043018296279,3,,unknown
