signal_date,trade_date,symbol,day_ret,cum_ret,weight,hold_day_no
2015-03-27,2015-03-27,2203,-0.04470938897168397,-0.04470938897168397,0.28,1
2015-03-27,2015-03-30,2203,-0.02574102964118563,-0.06929955290611023,0.28,2
2015-03-27,2015-03-27,1369,-0.03585171281088684,-0.03585171281088684,0.28,1
2015-03-27,2015-03-30,1369,-0.03922904701645091,-0.07367433129985923,0.28,2
2015-04-03,2015-04-03,2084,0.031215686274509657,0.031215686274509657,0.28,1
2015-04-03,2015-04-06,2084,0.01871006997261948,0.05050980392156856,0.28,2
2015-04-03,2015-04-07,2084,-0.022696729879050248,0.026666666666666616,0.28,3
2015-04-06,2015-04-06,1704,-0.02741179097811519,-0.02741179097811519,0.28,1
2015-04-06,2015-04-07,1704,0.0009758337638481329,-0.026462706565431038,0.28,2
2015-04-06,2015-04-08,1704,0.020644569331345286,-0.0063644484144708136,0.28,3
2015-04-06,2015-04-06,2084,0.01871006997261948,0.01871006997261948,0.28,1
2015-04-06,2015-04-07,2084,-0.022696729879050248,-0.004411317310617391,0.28,2
2015-04-06,2015-04-08,2084,-0.017265087853323258,-0.02160024338302391,0.28,3
2015-04-07,2015-04-07,1860,-0.024021922919946426,-0.024021922919946426,0.28,1
2015-04-07,2015-04-08,1860,0.008602664436346386,-0.015625911025596073,0.28,2
2015-04-07,2015-04-09,1860,-0.030622519694367245,-0.045769925951839596,0.28,3
2015-04-08,2015-04-08,2268,-0.004745762711864443,-0.004745762711864443,0.28,1
2015-04-08,2015-04-09,2268,-0.024523160762942697,-0.02915254237288134,0.28,2
2015-04-08,2015-04-10,2268,0.007681564245810124,-0.021694915254237168,0.28,3
2015-04-09,2015-04-09,2378,-0.03727001100802019,-0.03727001100802019,0.28,1
2015-04-09,2015-04-10,2378,0.0022868343678537073,-0.035068406982229905,0.28,2
2015-04-09,2015-04-13,2378,0.03520208604954367,-0.0011008020128950857,0.28,3
2015-04-13,2015-04-13,1213,0.009667243309249951,0.009667243309249951,0.28,1
2015-04-13,2015-04-14,1213,-0.0005039306591412274,0.009158441029815778,0.28,2
